"Site_id","Round","links_sps","num_compartments","NODF","link_dens","weigh_connectance","Shannon","int_evenness","Alatalo_int_evenness","H2","species.poll","species.pl","niche.overlap.poll","niche.overlap.plant","functional.comp.poll","functional.comp.plant","modularity","z","links.corr","nodf.corr","linkdens.corr","conn.corr","ala.corr","h2.corr","V26","V27"
"Villamanriquesur","4",0.9,2,4.36507936507936,3.05209841024953,0.152604920512477,2.72781049073395,0.655899777911127,0.834895268811463,0.825162916738782,16,4,0.287606837606838,0.069579846432577,20.5441229916984,20.5578599545817,"0.56956","3.91749642109758",-16.8209938222224,0.989862059031271,-9.14065207181173,-12.0401455615488,-38.2792494562753,-40.3511601690982,-30.5107033870788,-2.6402621239756
"Villamanriquesur","5",0.9,1,0,2.77777777777778,0.277777777777778,2.19722457733622,0.72169761342906,1,0,7,3,0.476190476190476,0.361111111111111,4.24264068711929,5.86370330515627,"0.419753",NA,-12.0391090387313,-1.03969792116508,-4.58836283434186,-7.08836283434185,-15.8856573187838,-17.361184282691,-17.8712824456738,-1.34916055307343
"Villamanriquesur","6",0.777777777777778,2,0,1.85714285714286,0.206349206349206,1.94591014905531,0.649560765570943,1,0,5,4,0.3,0.233333333333333,5.87421858626871,5.5534180126148,"0.530612","0.0412139182850974",-10.9470666641034,NA,-6.79845994305896,-8.44925359385261,-14.7836756896225,-16.0800250731069,-31.3145793433996,-0.673027324458436
"Villamanriquesur","7",0.8,4,3.14465408805031,2.31189362579651,0.115594681289826,2.66461919519349,0.601383292554344,0.868102380063101,0.707655323295762,14,6,0.192376545760004,0.0457142857142857,17.9344312760166,17.4247189561187,"0.657596","2.55078472265862",-17.9648426125427,1.41587834257438,-9.27673924061527,-11.473038185122,-37.6201729995931,-39.6834089022323,-36.043949737487,-1.39150695303123
"Villamanriqueeste","1",0.75,2,0,1.95992058984143,0.244990073730179,1.73286795139986,0.697357364127824,0.930528013369903,1,6,2,0.4,0,4.92423301158178,6.92820323027551,"Error in try(mod@likelihood, TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
","Error in try((mod@likelihood - mean(like.nulls))/sd(like.nulls), TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
",-9.69731742615818,NA,-6.24889040687057,-7.96382092298182,-14.5346820241501,-15.5701926114221,-32.2451216570655,-0.193147672625308
"Villamanriqueeste","2",0.846153846153846,2,15.4761904761905,2.81633871562939,0.216641439663799,2.35167330190463,0.656246929984917,0.940866486160396,0.208124331531478,9,4,0.383986928104575,0.260804469740416,9.4145514975227,9.32783355875567,"0.43787",NA,-14.1577399858683,12.7872775110099,-3.51283766517209,-6.11253494113768,-18.0604279190595,-19.7558542909792,-12.1862858755395,-1.28468746992565
"Villamanriqueeste","3",0.866666666666667,2,0,3.49510982880427,0.233007321920284,2.45820443278557,0.754490974745134,0.8916587397622,1,13,2,0.461538461538462,0,8.21860967409119,12.328828005938,"Error in try(mod@likelihood, TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
","Error in try((mod@likelihood - mean(like.nulls))/sd(like.nulls), TRUE) : 
