"Site_id","species","norm_degree","nested.rank","strength","weigh_closeness","d","nested_contribution"
"PinaresdeHinojos","Dasypoda crassicornis",0.125,0.533333333333333,0.111111111111111,0.0489130434782609,0,-0.303567141970362
"PinaresdeHinojos","Lasioglossum bimaculatus",0.125,0.6,0.111111111111111,0.0489130434782609,0,-0.272311617580332
"PinaresdeHinojos","Lasioglossum malachurum",0.125,0.666666666666667,0.111111111111111,0.0489130434782609,0,-0.000719122029136575
"PinaresdeHinojos","Lasioglossum sp",0.125,0.733333333333333,0.111111111111111,0.0489130434782609,0,-0.115238978158771
"PinaresdeHinojos","Nomada melathoracica",0.125,0.8,0.111111111111111,0.0489130434782609,0,-0.201773708815333
"PinaresdeHinojos","Panurgus dargius",0.125,0.866666666666667,1,NA,1,-0.929915688674948
"PinaresdeHinojos","Psilothrix viridicoerulea",0.125,0.933333333333333,0.111111111111111,0.0489130434782609,0,-0.340018684875833
"PinaresdeHinojos","Tenthredo corynetes",0.125,1,0.333333333333333,0.031055900621118,0.5,-0.461072633907687
"PinaresdeHinojos","Xylocopa cantabrita",0.375,0.0666666666666667,0.861111111111111,0.0674662668665667,0.0865984075284457,0.942670528878288
"Esparragal","Andrena sp",0.125,0.235294117647059,0.166666666666667,0.0346320346320346,0.0792177788383982,-0.378577796054146
"Esparragal","Anthophora atroalba",0.125,0.294117647058824,0.2,0.029143897996357,0.172912524653084,-0.271174802301739
"Esparragal","Apidae NA",0.125,0.352941176470588,0.142857142857143,0.0375586854460094,0,-0.205049012858025
"Esparragal","Apis mellifera",0.375,0,1.76666666666667,0.0517799352750809,0.612289482872429,-0.415687331972861
"Esparragal","Cerceris morpho1",0.125,0.411764705882353,0.142857142857143,0.0375586854460094,0,-0.0834116372315497
"Esparragal","Chasmatopterus illigeri",0.125,0.470588235294118,0.166666666666667,0.0346320346320346,0.0792177788383982,-0.523451661832127
"Esparragal","Dasypoda sp",0.125,0.529411764705882,0.5,NA,0.643792812891978,-0.83722043720837
"Esparragal","Episyrphus balteatus",0.125,0.588235294117647,0.5,NA,0.643792812891978,-0.657227400537971
"Esparragal","Eucera collaris",0.125,0.647058823529412,0.5,0.0294659300184162,0.643792812891978,-0.857175081198548
"Esparragal","Halictus tridivisus",0.25,0.117647058823529,1.14285714285714,0.0375586854460094,0.479378771324088,0.598503054461576
"Esparragal","Lasioglossum bimaculatus",0.125,0.176470588235294,0.333333333333333,0.0476190476190476,0.412140504182561,-0.463118220832766
"Esparragal","Lasioglossum leucozonium",0.125,0.705882352941177,0.166666666666667,0.0346320346320346,0.0792177788383982,-0.632853870412414
"Esparragal","Lasioglossum malachurum",0.375,0.0588235294117647,0.642857142857143,0.0567375886524823,0.0955330748131502,0.978899754663023
"Esparragal","Lasioglossum morpho1",0.125,0.764705882352941,1,NA,1,-0.65798896672058
"Esparragal","Osmia fulviventris",0.125,0.823529411764706,0.142857142857143,0.0375586854460094,0,-0.167347343458512
"Esparragal","Pieris rapae",0.125,0.882352941176471,0.2,0.029143897996357,0.172912524653084,-0.0930509256609503
"Esparragal","Tenthredo sp",0.125,0.941176470588235,0.142857142857143,0.0375586854460094,0,0.160549784844759
"Esparragal","Usia morpho1",0.125,1,0.142857142857143,0.0375586854460094,0,-0.246149247271596
"LaCunya","Andrena rhyssonota",0.0909090909090909,0.294117647058824,1,NA,1,-0.723760535782395
"LaCunya","Anthophora dispar",0.0909090909090909,0.352941176470588,0.125,0.053030303030303,0,0.404338031900025
"LaCunya","Anthophora retusa",0.0909090909090909,0.411764705882353,1,NA,1,-0.982383679211426
"LaCunya","Apis mellifera",0.454545454545455,0,2.72619047619048,0.113636363636364,0.299313577341322,1.7123804233413
"LaCunya","Bombus terrestris",0.0909090909090909,0.470588235294118,0.125,0.053030303030303,0,0.826010197157506
"LaCunya","Ceratina cucurbitina",0.0909090909090909,0.529411764705882,0.142857142857143,0.0644963144963145,0.0642150259807986,0.387994544845933
"LaCunya","Dasypoda cingulata",0.0909090909090909,0.588235294117647,1,NA,1,-0.939184564492952
"LaCunya","Empis morpho1",0.0909090909090909,0.647058823529412,0.142857142857143,0.0644963144963145,0.0642150259807986,0.136764952470675
"LaCunya","Heliotaurus ruficollis",0.0909090909090909,0.705882352941177,0.142857142857143,0.0644963144963145,0.0642150259807986,0.298912803655739
"LaCunya","Lasioglossum albocinctum",0.0909090909090909,0.764705882352941,0.333333333333333,NA,0.471679166426281,-0.484737415219464
"LaCunya","Lasioglossum imminutus",0.181818181818182,0.117647058823529,0.392857142857143,0.106060606060606,0.0791311394338461,1.36634895924862
"LaCunya","Lasioglossum malachurum",0.272727272727273,0.0588235294117647,1.26785714285714,0.0852272727272727,0.214406715793512,1.79351658806809
"LaCunya","Lasioglossum sp",0.0909090909090909,0.823529411764706,0.333333333333333,0.0507736943907157,0.471679166426281,-0.312255953551569
"LaCunya","Lasioglossum tridivisus",0.181818181818182,0.176470588235294,0.833333333333333,NA,0.554881260846844,-0.16694439867049
"LaCunya","Lomatia morpho1",0.0909090909090909,0.882352941176471,0.333333333333333,NA,0.471679166426281,-0.324739733376912
"LaCunya","Panurgus banksianus",0.0909090909090909,0.941176470588235,0.5,NA,0.666666666666667,-0.776398484329617
"LaCunya","Pieris brassicae",0.181818181818182,0.235294117647059,0.458333333333333,0.0712347354138399,0.210490393258648,0.2335218292211
"LaCunya","Pseudoanthidium melanorum",0.0909090909090909,1,0.142857142857143,0.0644963144963145,0.0642150259807986,0.308000448202565
"LaRocina","Andrena sp",0.181818181818182,0.0588235294117647,1.33333333333333,NA,0.809440438472641,-0.463457979214289
"LaRocina","Anthophora bimaculata",0.0909090909090909,0.235294117647059,0.0344827586206897,0.0204600977198697,0,0.00295361029175719
"LaRocina","Anthophora retusa",0.0909090909090909,0.264705882352941,0.0344827586206897,0.0204600977198697,0,-0.0394587072437362
"LaRocina","Apis mellifera",0.363636363636364,0,1.75799373040752,0.0576284414994863,0.227901953390253,1.63160352018947
"LaRocina","Arachnospila morpho1",0.0909090909090909,0.294117647058824,0.0344827586206897,0.0204600977198697,0,-0.0612861838262868
"LaRocina","Bombus terrestris",0.0909090909090909,0.323529411764706,0.0909090909090909,0.0183395833903594,0.287886959190039,-0.47625271576416
"LaRocina","Ceratina sp",0.0909090909090909,0.352941176470588,0.0344827586206897,0.0204600977198697,0,-0.232658777563159
"LaRocina","Colletes acutus",0.0909090909090909,0.382352941176471,0.333333333333333,0.0119040568551969,0.673740489657981,-0.581162314546779
"LaRocina","Colletes sp",0.0909090909090909,0.176470588235294,0.0689655172413793,0.0353904392992341,0.0723122263424033,0.0606939827605389
"LaRocina","Dasypoda cingulata",0.0909090909090909,0.205882352941176,0.0689655172413793,0.0353904392992341,0.0723122263424033,-0.146670458942366
"LaRocina","Dasypoda crassicornis",0.0909090909090909,0.411764705882353,0.333333333333333,NA,0.673740489657981,-0.542567938331258
"LaRocina","Dasypoda sp",0.0909090909090909,0.441176470588235,0.0344827586206897,0.0204600977198697,0,-0.0251627491457382
"LaRocina","Dischistus morpho1",0.0909090909090909,0.470588235294118,0.0344827586206897,0.0204600977198697,0,-0.00715236715646825
"LaRocina","Dischistus senex",0.0909090909090909,0.5,1,NA,1,-0.607726109400739
"LaRocina","Episyrphus balteatus",0.0909090909090909,0.529411764705882,0.0344827586206897,0.0204600977198697,0,-0.258684619001557
"LaRocina","Eristalis tenax",0.0909090909090909,0.558823529411765,0.0909090909090909,0.0183395833903594,0.287886959190039,-0.535297295845077
"LaRocina","Helophilus trivittatus",0.0909090909090909,0.147058823529412,0.137931034482759,0.0557211171945388,0.15302278248959,-0.250523802443929
"LaRocina","Heriades crenulatus",0.0909090909090909,0.588235294117647,0.2,0.0189774819430676,0.522038456466545,-0.179901171340695
"LaRocina","Heriades truncorum",0.0909090909090909,0.617647058823529,0.0344827586206897,0.0204600977198697,0,-0.0527271896992241
"LaRocina","Hoplitis tridentata",0.0909090909090909,0.647058823529412,0.0344827586206897,0.0204600977198697,0,-0.205039242519429
